,University,State Code,Student Health Center,Found by Algorithm,Terms Found,Number of Clicks,URL of page mention was found on,Path,Whether womens/birth control/sexual issues related section present on SHC,Womens Health/Contraception Related Sections,Womens Health/Contraception Related Section Links,Whether Womens Health/Contraception Related Ext Resources,Womens Health/Contraception Related Ext Resources,,,
1,Arizona State University Polytechnic,AZ,https://eoss.asu.edu/health,TRUE,['iud'],2,https://eoss.asu.edu/health/resources/coverage##Aetna,"['https://eoss.asu.edu/health', 'Health Forms', 'Aetna Student Health Insurance']",TRUE,['Sexual Health'],['https://eoss.asu.edu/health/resources/sti'],FALSE,[],,,
2,Arizona State University Tempe,AZ,https://eoss.asu.edu/health,TRUE,['iud'],2,https://eoss.asu.edu/health/resources/coverage##Aetna,"['https://eoss.asu.edu/health', 'Health Forms', 'Aetna Student Health Insurance']",TRUE,['Sexual Health'],['https://eoss.asu.edu/health/resources/sti'],FALSE,[],,,
3,Armstrong State University,GA,https://auxiliary.georgiasouthern.edu/healthservices/,TRUE,['depo-provera'],2,https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/,"['https://auxiliary.georgiasouthern.edu/healthservices/', 'Sexual Assault Assistance', ""Women's Health Clinic | Health Services""]",TRUE,"['Sexual Assault Assistance', 'Prevention of Men’s Violence Against Women Champion’s Committee', 'Comprehensive Sexual Assault Awareness Curriculum for University Athletics', ""Women's Health Clinic | Health Services"", ""RAD Women's Self-Defense Class | Health Services""]","['https://auxiliary.georgiasouthern.edu/healthservices/sexual-assault-assistance/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/prevention-of-mens-violence-against-women-champions-committee/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/comprehensive-sexual-assault-awareness-curriculum-for-university-athletics/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-and-promotion/scheduled-programs-and-requests/rad-womens-self-defense-class/']",FALSE,[],,,
4,Bemidji State University,MN,https://www.bemidjistate.edu/services/health-counseling/,TRUE,['contracept shot'],2,https://www.bemidjistate.edu/services/health-counseling/health-services/services-provided/,"['https://www.bemidjistate.edu/services/health-counseling/', 'Health Services', 'Services provided']",TRUE,"['Birth Control', 'Sexual Health', 'Sexual health services']","['https://www.bemidjistate.edu/services/health-counseling/appointments/insurance/', 'https://www.bemidjistate.edu/services/health-education/sexual-health/', 'https://www.bemidjistate.edu/services/health-counseling/health-services/services/']",FALSE,[],,,
5,Binghamton University,NY,https://www.binghamton.edu/health/,TRUE,['depoprovera'],2,https://www.binghamton.edu/health/services/womens-services.html,"['https://www.binghamton.edu/health/', 'Services', 'Women’s services']",TRUE,['Women’s services'],['https://www.binghamton.edu/health/services/womens-services.html'],FALSE,[],,,
6,Bloomsburg University of Pennsylvania,PA,https://intranet.bloomu.edu/health,TRUE,['depo-provera'],1,https://intranet.bloomu.edu/health/services,"['https://intranet.bloomu.edu/health', 'Medical Services']",TRUE,['Sexual Health'],['https://intranet.bloomu.edu/health/sexual_health'],FALSE,[],,,
7,Boise State University,ID,https://healthservices.boisestate.edu/,TRUE,"['depo-provera', 'intrauterin devic']",3,https://www.boisestate.edu/healthservices/sexual-health/,"['https://healthservices.boisestate.edu/', 'University Health Services', 'Who can use Health Services', 'Sexual Health']",TRUE,['Sexual Health'],['https://www.boisestate.edu/healthservices/sexual-health/'],FALSE,[],,,
8,Bowie State University,MD,https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/,TRUE,['contracept inject'],2,https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/emergency-contraception/,"['https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/', ""Women's Health"", 'Emergency Contraception']",TRUE,"[""Women's Health"", 'Partners in Peace /Sexual Assault', 'Sexual Misconduct Policy', 'Gender and Sexual Diversities Resource Center', 'Sexual Health', 'Emergency Contraception', 'VI - 1.40 - Policy on Sexual Misconduct']","['https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/partners-in-peace/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-misconduct-policy-2/', 'https://www.bowiestate.edu/campus-life/division-of-student-affairs/gender-and-sexual-diversities-/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/', 'https://www.bowiestate.edu/campus-life/henry-wise-wellness-center/sexual-health/emergency-contraception/', 'https://www.bowiestate.edu/gc/university-policies/section-vi-general-administra/vi-140-policy-on-sexual-misc/']",FALSE,[],,,
9,California State Polytechnic University Pomona,CA,https://www.cpp.edu/~healthcounseling/,TRUE,"['control implant', 'intrauterin devic', 'iuc', 'control shot', 'depo-provera', 'depo']",1,https://www.cpp.edu/~health/health-topics/pregnancy-prevention.shtml,"['https://www.cpp.edu/~healthcounseling/', 'I Need Birth Control']",TRUE,['I Need Birth Control'],['https://www.cpp.edu/~health/health-topics/pregnancy-prevention.shtml'],TRUE,"['https://www.plannedparenthood.org/learn/birth-control', 'http://www.ashasexualhealth.org/pdfs/ContraceptiveOptions.pdf', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-temperature-method-fams', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-cervical-mucus-method-fams', 'https://www.plannedparenthood.org/learn/birth-control/fertility-awareness/whats-calendar-method-fams']",,,
10,California State University Bakersfield,CA,http://www.csub.edu/healthcenter/,TRUE,['depoprovera'],2,https://www.csub.edu/healthcenter/Services/women/index.html,"['http://www.csub.edu/healthcenter/', 'Services', ""Women's Clinic""]",TRUE,"[""Women's Clinic""]",['https://www.csub.edu/healthcenter/Services/women/index.html'],FALSE,[],,,
11,California State University East Bay,CA,http://www.csueastbay.edu/shcs/,TRUE,"['depo-provera', 'iud']",3,http://www.csueastbay.edu/medical-services/services/womens-health.html,"['http://www.csueastbay.edu/shcs/', 'Mental Health Services, Emergency Rooms, and Urgent Care Clinics', 'MYPIONEER HEALTH', 'Women’s Health']",TRUE,"['Women’s Health', 'Sexual Health']","['http://www.csueastbay.edu/medical-services/services/womens-health.html', 'http://www.csueastbay.edu/healthed/health-topics/sexual-health.html']",FALSE,[],,,
12,California State University Fresno,CA,http://www.fresnostate.edu/studentaffairs/health/,TRUE,['contracept inject'],2,http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html,"['http://www.fresnostate.edu/studentaffairs/health/', 'MEDICAL SERVICES', 'SEXUAL HEALTH']",TRUE,['SEXUAL HEALTH'],['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html'],FALSE,[],,,
13,California State University Fullerton,CA,https://www.fullerton.edu/health/,TRUE,['iud'],1,https://www.fullerton.edu/health/services,"['https://www.fullerton.edu/health/', 'SERVICES']",FALSE,[],[],FALSE,[],,,
